,avgwordsen,avgchrword,avgsylword,nounperc,verbperc,pronperc,adjperc,conjperc,entropy,surprisal
фэнтези $ Роулинг $ Гарри Поттер и Принц полукровка,12.1126,5.3062,2.29677,0.26314,0.19501,0.10071,0.07961,0.07219,10.07918,5.49218
фэнтези $ Роулинг $ Гарри Поттер и Тайная комната,9.24073,5.26696,2.2735,0.29844,0.19712,0.0851,0.08194,0.06295,10.17636,4.79005
фэнтези $ Роулинг $ Гарри Поттер и узник Азкабана,8.75616,5.22343,2.26041,0.29833,0.20186,0.09093,0.07189,0.06657,10.0643,5.01602
Фэнтези $ Роулинг $ Гарри Поттер и Философский камень,10.87325,5.10148,2.2177,0.25579,0.19694,0.10713,0.07279,0.08451,9.74174,5.15796
Ян Ларри Необыкновенные приключения Карика и Вали,7.39042,5.24854,2.30221,0.28287,0.21054,0.07312,0.08144,0.07225,9.81061,4.9133
Янссон Мемуары папы Муми Тролля,8.69948,5.2929,2.30164,0.23726,0.19412,0.10845,0.09904,0.07895,9.78474,4.09611
Янссон Муми-тролль и комета,9.39907,5.14551,2.19633,0.252,0.20706,0.09417,0.07995,0.08013,9.52701,4.02157
Янссон Опасное лето,8.08974,5.26609,2.28247,0.26389,0.21011,0.09555,0.07919,0.07668,9.63227,3.88049
Bandit iz Chiertova Kan_ona - Edghar Rais Bierrouz.txt,9.98275,5.08096,2.23393,0.24095,0.19521,0.11627,0.0855,0.07616,9.75285,4.86813
Bieghstvo na Vienieru - Edghar Bierrouz.txt,9.42876,4.99196,2.22021,0.22477,0.20883,0.14966,0.07258,0.07853,9.40684,5.03209
Biezumnyi korol_ - Edghar Rais Bierrouz.txt,11.7054,5.3011,2.30771,0.2926,0.18366,0.08746,0.08247,0.08076,9.80167,4.97239
Boghi Marsa - Edghar Rais Bierrouz.txt,13.0503,5.1644,2.26883,0.25769,0.17126,0.11055,0.10206,0.07289,9.69252,4.95189
Boievoi chieloviek Marsa - Edghar Rais Bierrouz.txt,9.99818,4.91579,2.17715,0.23435,0.19419,0.13726,0.07797,0.0831,9.36072,4.87432
Boksier Billi - Edghar Rais Bierrouz.txt,11.67757,5.14271,2.26273,0.25322,0.18613,0.11578,0.08272,0.07558,9.57112,4.65659
Doch_ tysiachi dzhieddakov - Edghar Rais Bierrouz.txt,20.09349,5.19264,2.30657,0.25682,0.15557,0.10547,0.10835,0.08316,9.67845,4.82092
Gighant s Marsa - Edghar Rais Bierrouz.txt,11.65662,5.6461,2.47776,0.33478,0.17103,0.05817,0.12157,0.05667,9.57286,3.64203
Iskusstviennyie liudi Marsa - Edghar Rais Bierrouz.txt,9.59983,4.89863,2.15104,0.23378,0.20071,0.14536,0.06934,0.08299,9.21226,4.86798
Karson Vienierianskii - Edghar Bierrouz.txt,10.39149,4.95955,2.18876,0.21655,0.20128,0.15481,0.07071,0.08109,9.31566,4.97074
Krasnyi iastrieb - Edghar Rais Bierrouz.txt,10.30088,4.80557,2.12762,0.23472,0.19316,0.13664,0.07524,0.08772,9.06858,4.33024
Lana iz Gatola - Edghar Rais Bierrouz.txt,8.91935,4.91153,2.15196,0.22918,0.20374,0.14567,0.07356,0.07934,9.49409,4.75953
Liudi iz zabytogho vriemieni - Edghar Rais Bierrouz.txt,15.61899,5.09692,2.27902,0.2473,0.17705,0.11752,0.08969,0.08994,9.36057,4.33592
Liudi s Luny - Edghar Rais Bierrouz.txt,10.24244,4.79377,2.12183,0.22242,0.20295,0.1501,0.06823,0.08838,9.14274,4.42579
Liudi-monstry - Edghar Rais Bierrouz.txt,14.55646,5.3529,2.36535,0.27397,0.17341,0.09455,0.09574,0.08027,9.71137,4.47766
Lunnaia dievushka - Edghar Rais Bierrouz.txt,13.32918,5.07205,2.28043,0.21557,0.1857,0.13935,0.07441,0.09013,9.39453,4.7763
Marsianskiie shakhmaty - Edghar Rais Bierrouz.txt,11.29338,5.16862,2.30172,0.27527,0.1826,0.10356,0.08792,0.07867,9.5419,5.03971
Miechi Marsa - Edghar Rais Bierrouz.txt,10.25225,4.87658,2.15034,0.21374,0.20918,0.15746,0.07052,0.07937,9.14965,5.04267
Obratno v kamiennyi viek - Edghar Rais Bierrouz.txt,10.26942,4.90685,2.12802,0.23625,0.21258,0.13684,0.06671,0.08238,9.18713,5.02463
Pielliusidar - Edghar Rais Bierrouz.txt,13.91199,5.10902,2.27981,0.24553,0.18971,0.11627,0.08088,0.07911,9.52323,4.47815
Pieshchiernaia dievushka - Edghar Rais Bierrouz.txt,14.3847,5.12772,2.28016,0.25339,0.19005,0.1006,0.08573,0.08693,9.42392,4.90034
Piraty Vieniery - Edghar Bierrouz.txt,12.85111,5.22231,2.30629,0.23214,0.18199,0.12545,0.09247,0.08102,9.69007,4.70011
Poisk Tarzana - Edghar Bierrouz.txt,8.61535,5.17533,2.25158,0.24255,0.21104,0.11857,0.06434,0.07273,9.60447,4.66162
Posliednii iz plieistotsiena - Edghar Bierrouz.txt,10.61377,5.0735,2.23233,0.23041,0.19474,0.13835,0.08557,0.08395,8.97494,2.96143
Potieriannyi kontinient - Edghar Rais Bierrouz.txt,15.2412,5.18904,2.29546,0.23913,0.17382,0.12005,0.09843,0.09174,9.55616,4.27669
Prikliuchieniia Tarzana v dzhunghliakh - Edghar Rais Bierrouz.txt,14.09021,5.28094,2.33166,0.27844,0.17137,0.08042,0.10872,0.08095,9.68923,4.88753
Prikliuchieniia v niedrakh Ziemli - Edghar Bierrouz.txt,9.42548,5.30897,2.32276,0.27585,0.20017,0.08851,0.07758,0.07472,9.78432,4.31574
Proisshiestviie v Okdieilie - Edghar Rais Bierrouz.txt,11.04973,5.26677,2.29064,0.27196,0.18934,0.09076,0.09735,0.08362,9.92631,4.10121
Skielietoidy s Iupitiera - Edghar Rais Bierrouz.txt,11.93464,5.2096,2.31313,0.24246,0.17116,0.13021,0.09638,0.07314,9.37863,3.97114
Sviriepyi Pielliusidar - Edghar Bierrouz.txt,10.56288,5.03493,2.25217,0.25035,0.20713,0.11164,0.06788,0.08174,9.51885,4.75223
Syn Tarzana - Edghar Bierrouz.txt,11.17722,5.13611,2.27938,0.26197,0.19108,0.10659,0.08631,0.07408,9.61947,4.98147
Tanar iz Pielliusidara - Edghar Bierrouz.txt,11.83377,5.20783,2.31174,0.25656,0.18063,0.09839,0.08973,0.07876,9.84124,4.85347
Tarzan - povielitiel_ dzhunghliei - Edghar Rais Bierrouz.txt,9.83537,5.32923,2.318,0.29841,0.19093,0.08803,0.07971,0.07747,9.94301,4.44786
Tarzan -- priiemysh obiez_ian - Edghar Rais Bierrouz.txt,14.37946,5.4102,2.35213,0.28698,0.17146,0.0688,0.10703,0.0818,10.15171,4.86413
Tarzan i chieloviek-liev - Edghar Rais Bierrouz.txt,8.83628,5.19827,2.285,0.25567,0.20595,0.11385,0.07201,0.07693,9.81907,4.66385
Tarzan i chiempion - Edghar Rais Bierrouz.txt,9.83399,5.39845,2.33659,0.28684,0.19494,0.09633,0.08467,0.07154,9.38096,3.02222
Tarzan i Gorod Zolota - Edghar Rais Bierrouz.txt,11.40642,5.25787,2.32134,0.26087,0.19005,0.10968,0.08684,0.07875,9.57481,4.79304
Tarzan i iegho zvieri - Edghar Rais Bierrouz.txt,13.9648,5.26329,2.32524,0.27508,0.17624,0.08732,0.09891,0.07772,9.62507,4.64352
Tarzan i liudi-lieopardy - Edghar Rais Bierrouz.txt,10.62931,5.30632,2.35066,0.25661,0.19285,0.09837,0.09362,0.07766,9.92641,4.64789
Tarzan i liudi-murav_i - Edghar Rais Bierrouz.txt,9.26587,5.38458,2.35979,0.25946,0.20949,0.1015,0.08476,0.07561,9.6881,4.28075
Tarzan i potieriannaia impieriia - Edghar Bierrouz.txt,10.62522,5.44415,2.39502,0.30458,0.18351,0.08692,0.08623,0.07422,9.97581,4.43082
Tarzan i potierpievshiie korabliekrushieniie - Edghar Rais Bierrouz.txt,10.51814,5.2343,2.29206,0.28127,0.19718,0.09494,0.07631,0.0801,9.71661,4.19183
Tarzan i sokrovishcha Opara - Edghar Rais Bierrouz.txt,13.87692,5.28419,2.32826,0.27371,0.17964,0.09015,0.09593,0.07889,9.56732,4.83059
Tarzan i sumasshiedshii - Edghar Rais Bierrouz.txt,9.38425,5.0985,2.23353,0.24694,0.21039,0.12455,0.06327,0.08839,9.38683,4.53093
Tarzan i ubiistvo v dzhunghliakh - Edghar Rais Bierrouz.txt,10.13545,5.33749,2.33582,0.28395,0.18941,0.0938,0.08035,0.07721,9.38286,3.55206
Tarzan i zaprietnyi ghorod - Edghar Bierrouz.txt,9.5,4.96958,2.18983,0.24905,0.21494,0.13469,0.06381,0.07854,9.15182,5.02433
Tarzan i zolotoi liev - Edghar Rais Bierrouz.txt,11.57975,5.272,2.3157,0.26056,0.19444,0.10791,0.08602,0.08385,9.7048,4.80029
Tarzan i __Inostrannyi lieghion__ - Edghar Rais Bierrouz.txt,9.48725,5.16456,2.25706,0.25554,0.20367,0.11648,0.07387,0.07875,9.53136,4.81865
Tarzan Niepobiedimyi - Edghar Rais Bierrouz.txt,13.34206,5.32285,2.35561,0.26935,0.18698,0.09165,0.09098,0.08758,9.8555,4.71105
Tarzan nieukrotimyi - Edghar Rais Bierrouz.txt,11.8231,5.45541,2.39644,0.29014,0.1931,0.07961,0.09261,0.07749,10.01988,4.71533
Tarzan torzhiestvuiushchii - Edghar Bierrouz.txt,10.04265,5.14917,2.28055,0.2539,0.19863,0.12061,0.07922,0.08174,9.48026,4.92516
Tarzan Uzhasnyi - Edghar Rais Bierrouz.txt,10.19977,5.20692,2.29819,0.28597,0.19707,0.09309,0.07564,0.07798,9.6289,4.7025
Tarzan v Pielliusidarie - Edghar Rais Bierrouz.txt,13.63129,5.44766,2.38882,0.2728,0.17319,0.0776,0.10208,0.07619,10.06892,4.72724
Tarzan vielikoliepnyi - Edghar Bierrouz.txt,7.88208,4.89917,2.14553,0.23558,0.20729,0.13682,0.06943,0.07293,9.20938,4.7246
"Tuviia, dieva Marsa - Edghar Rais Bierrouz.txt",13.15106,5.31131,2.35396,0.28029,0.16918,0.09331,0.10499,0.07356,9.50553,4.55499
V sierdtsie Ziemli - Edghar Rais Bierrouz.txt,14.58065,5.2008,2.30919,0.24378,0.17351,0.1072,0.0954,0.07817,9.77664,4.39393
Viechnyi dikar_ - Edghar Rais Bierrouz.txt,12.90365,5.2005,2.30765,0.26079,0.18,0.0865,0.08999,0.07583,9.71841,4.81477
Vielikii um Marsa - Edghar Rais Bierrouz.txt,14.17617,5.12742,2.26778,0.25238,0.17588,0.12129,0.09372,0.0815,9.55539,4.63746
Vladyka Marsa - Edghar Rais Bierrouz.txt,14.39405,5.15072,2.27924,0.25998,0.17348,0.10524,0.10218,0.0758,9.63469,4.58289
Vnie biezdny vriemieni - Edghar Rais Bierrouz.txt,12.89068,5.30746,2.33014,0.2682,0.17401,0.08413,0.09783,0.07727,9.72472,4.08861
Vozvrashchieniie v dzhunghli - Edghar Rais Bierrouz.txt,14.71694,5.37068,2.34366,0.2955,0.17824,0.06584,0.09485,0.07936,10.16143,4.79414
Za samoi daliekoi zviezdoi - Edghar Rais Bierrouz.txt,12.21599,5.22637,2.32304,0.23062,0.17676,0.12411,0.08534,0.07318,9.66171,4.45202
Zakorienielyi priestupnik - Edghar Rais Bierrouz.txt,10.40651,5.11504,2.25028,0.25844,0.19021,0.11432,0.07789,0.07459,9.59306,4.69684
Zatieriannyie na Vienierie - Edghar Bierrouz.txt,10.79888,5.06145,2.24558,0.2233,0.19386,0.13829,0.08592,0.07706,9.52215,4.86383
Ziemlia potieriannykh liudiei - Edghar Rais Bierrouz.txt,12.96061,5.12974,2.25078,0.25782,0.18749,0.11277,0.08561,0.09123,9.53403,4.8189
Ziemlia uzhasa - Edghar Rais Bierrouz.txt,12.19587,4.88001,2.16963,0.21458,0.20153,0.15156,0.07259,0.08106,9.18427,4.77027
"Ziemlia, pozabytaia vriemieniem - Edghar Rais Bierrouz.txt",14.31844,5.21939,2.30976,0.25507,0.17212,0.10023,0.09458,0.07868,9.98881,5.03357
Marsianin - Endi Vieiier.txt,8.11319,5.52913,2.41791,0.28616,0.1894,0.0972,0.09371,0.06337,10.09735,5.09276
Golodnyie ighry - S_iuzien Kollinz.txt,8.78988,4.95728,2.21046,0.22921,0.19105,0.11891,0.08255,0.07692,9.8611,5.06323
I vspykhniet plamia - Siuzien Kollinz.txt,8.89459,5.20567,2.31411,0.24932,0.18939,0.09505,0.09098,0.07308,10.22242,4.85914
Soika-pieriesmieshnitsa - S_iuzien Kollinz.txt,8.73579,5.16515,2.29885,0.2464,0.19127,0.12184,0.08378,0.07175,9.96151,5.01405
Ekstriennyi sluchai - Maikl Kraiton.txt,7.6381,5.22712,2.30054,0.25361,0.19532,0.11627,0.08482,0.07647,10.13242,4.76065
Gosudarstvo strakha - Maikl Kraiton.txt,7.9356,5.37668,2.36449,0.26754,0.18331,0.09203,0.09123,0.07123,10.26815,5.36142
Kongho - Maikl Kraiton.txt,11.7533,5.77438,2.56571,0.31543,0.16687,0.05753,0.11327,0.06365,10.39715,4.81748
Kryl_ia - Maikl Kraiton.txt,7.84744,5.72151,2.51732,0.32278,0.19507,0.08483,0.0888,0.05417,10.32403,4.85955
Opasnyi patsiient - Maikl Kraiton.txt,7.95908,5.59904,2.47466,0.28893,0.18429,0.09885,0.09859,0.06462,10.02267,4.48351
Park iurskogho pierioda - Maikl Kraiton.txt,8.40162,5.50113,2.39401,0.28526,0.19661,0.0884,0.09006,0.06907,10.27082,5.17172
Piratskiie shiroty - Maikl Kraiton.txt,8.66809,5.43353,2.35401,0.29952,0.19209,0.07681,0.09106,0.06933,10.21664,4.79464
Pozhiratieli miertvykh (13-i voin) - Maikl Kraiton.txt,18.0055,5.36977,2.39781,0.27625,0.14824,0.08594,0.10863,0.0819,9.97132,4.68943
Razoblachieniie - Maikl Kraiton.txt,8.94401,5.28059,2.31748,0.24798,0.19806,0.12222,0.07669,0.07508,9.78936,5.27623
Roi - Maikl Kraiton.txt,8.35699,5.24186,2.32541,0.23694,0.19786,0.12439,0.08075,0.07135,9.84061,5.24981
Sfiera - Maikl Kraiton.txt,7.47882,5.36454,2.32874,0.27579,0.20597,0.11081,0.08819,0.06493,9.93534,4.75714
Shtamm __Andromieda__ - Maikl Kraiton.txt,10.98861,5.77266,2.53015,0.30861,0.1609,0.06381,0.11926,0.07193,10.45976,4.47474
Sluchai nieobkhodimosti - Maikl Kraiton.txt,9.483,5.1403,2.28033,0.2244,0.179,0.13486,0.08957,0.07596,9.80898,5.08944
Striela vriemieni - Maikl Kraiton.txt,9.27453,5.38537,2.35315,0.27032,0.18788,0.09353,0.09271,0.06853,10.25127,5.32271
Voskhodiashchieie solntsie - Maikl Kraiton.txt,9.84944,5.23751,2.31935,0.25348,0.20312,0.12621,0.07877,0.07137,9.82012,5.11664
Zatieriannyi mir - Maikl Kraiton.txt,7.63553,5.49604,2.39747,0.29496,0.19887,0.07491,0.08906,0.07025,10.35423,5.07151
Zuby drakona - Maikl Kraiton.txt,9.79162,5.37621,2.35117,0.29041,0.18358,0.09375,0.09285,0.07124,10.02974,4.64758
Lichnyie vospominaniia o Zhannie D`Ark s_ierietaria. Tom Soiier -- syshchik - Mark Tvien.txt,13.69378,4.97246,2.20816,0.22527,0.18965,0.1233,0.08415,0.0981,9.80059,5.5306
Nalieghkie - Mark Tvien.txt,17.27143,5.32135,2.34882,0.27325,0.15745,0.08347,0.10359,0.08552,10.56165,5.19247
Pozolochiennyi viek - Mark Tvien _ Charl_z Dedli Uornier.txt,14.42242,5.28828,2.33743,0.26377,0.16467,0.09367,0.09722,0.08619,10.23501,5.38461
Prostaki za ghranitsiei ili Put_ novykh palomnikov - Mark Tvien.txt,16.2711,5.41859,2.4078,0.27907,0.14573,0.07815,0.12305,0.08419,10.62636,5.2986
Tom 10. Rasskazy. Ochierki. Publitsistika. 1863-1893. - Mark Tvien.txt,14.65516,5.27652,2.33576,0.25356,0.16526,0.10166,0.09991,0.0862,10.45524,5.46704
Tom 11. Rasskazy. Ochierki. Publitsistika. 1894-1909 - Mark Tvien.txt,13.41638,5.21852,2.30754,0.25188,0.16515,0.1035,0.0954,0.08631,10.33233,5.38269
Tom 12. Iz _Avtobioghrafii_. Iz zapisnykh knek 1865-1905. Izbrannyie pis_ma - Mark Tvien.txt,16.62183,5.22623,2.32287,0.25949,0.15837,0.09957,0.09803,0.08781,10.27789,5.60101
Tom 4. Prikliuchieniia Toma Soiiera. Zhizn_ na Missisipi - Mark Tvien.txt,15.20447,5.122,2.25754,0.24984,0.17198,0.09243,0.09354,0.09231,10.30375,5.59603
Tom 5. Pieshkom po Ievropie. Prints i nishchii. - Mark Tvien.txt,16.0965,5.26521,2.32031,0.25605,0.16063,0.09363,0.10951,0.08566,10.53527,5.42471
Tom 6. Prikliuchieniia Giekl_bierri Finna. Iikuta pri dvorie korolia Artura - Mark Tvien.txt,15.14118,4.82091,2.12143,0.21145,0.18982,0.12257,0.07179,0.10136,9.84571,5.79394
Tom 7. Amierikanskii prietiendient.Tom Soiieranitsiei. Prostofilia Vil_son. - Mark Tvien.txt,14.09222,5.04218,2.216,0.22906,0.17586,0.11357,0.0817,0.09464,10.01669,5.41539
Tom 9. Po ekvatoru. Tainstviennyi nieznakomiets - Mark Tvien.txt,16.35865,5.32231,2.35932,0.27054,0.15665,0.09002,0.10754,0.08673,10.48625,5.51049
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 1 - Lit-Classic.Com.txt,11.90629,5.26205,2.31793,0.26248,0.18196,0.10851,0.08075,0.07864,9.93815,5.853
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 10 - Lit-Classic.Com.txt,12.22729,5.31387,2.34804,0.29996,0.1741,0.09329,0.08768,0.07505,10.43932,5.71926
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 11 - Lit-Classic.Com.txt,16.03315,5.44917,2.41436,0.29165,0.16726,0.08505,0.09335,0.08025,10.43864,5.87701
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 12 - Lit-Classic.Com.txt,15.13628,5.47612,2.41874,0.2974,0.16961,0.08186,0.09262,0.0798,10.37342,5.69583
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 2 - Lit-Classic.Com.txt,10.46895,5.13133,2.26308,0.25642,0.18965,0.10962,0.07441,0.07814,9.84535,6.05392
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 3 - Lit-Classic.Com.txt,10.10147,5.24116,2.29848,0.26619,0.18246,0.10833,0.0791,0.07361,10.00515,6.10874
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 4 - Lit-Classic.Com.txt,11.14212,5.23317,2.30934,0.25727,0.17904,0.1143,0.08119,0.07652,9.96376,6.17316
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 5 - Lit-Classic.Com.txt,13.18067,5.21812,2.29169,0.27986,0.17387,0.09208,0.0896,0.0831,10.18309,6.08622
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 6 - Lit-Classic.Com.txt,10.88548,5.16245,2.26273,0.25979,0.18089,0.10827,0.08102,0.07645,10.02311,6.01265
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 7 - Lit-Classic.Com.txt,11.86188,5.22429,2.29085,0.2589,0.17478,0.10426,0.08942,0.07694,10.2608,5.93719
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 8 - Lit-Classic.Com.txt,12.93721,5.19759,2.28054,0.26041,0.1812,0.11038,0.08497,0.08096,10.0705,6.00979
Alieksandr Diuma. Sobraniie sochinienii v 12 tomakh. Tom 9 - Lit-Classic.Com.txt,14.72307,5.1949,2.29204,0.26278,0.17973,0.10272,0.08223,0.0796,10.20318,6.03825
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 1 - Lit-Classic.Com.txt,12.87185,5.09797,2.25238,0.27443,0.17389,0.09076,0.0955,0.08908,10.28314,5.35921
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 10 - Lit-Classic.Com.txt,10.44285,5.11123,2.23943,0.25912,0.19169,0.0999,0.08739,0.08043,10.34537,5.43658
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 11 - Lit-Classic.Com.txt,13.52515,5.14939,2.27953,0.26024,0.16895,0.10428,0.0994,0.08514,10.3655,5.44323
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 12 - Lit-Classic.Com.txt,12.23018,5.14923,2.27263,0.25548,0.17862,0.1029,0.09221,0.08534,10.32452,5.39865
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 13 - Lit-Classic.Com.txt,14.1147,5.25256,2.30639,0.27951,0.17042,0.081,0.1,0.08435,10.44853,5.46073
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 14 - Lit-Classic.Com.txt,13.07398,5.12858,2.27126,0.26703,0.17039,0.09993,0.08832,0.08603,10.2389,5.41213
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 2 - DzhiekLondon.txt,11.4693,5.1323,2.2595,0.2554,0.18594,0.10573,0.08726,0.08458,10.17355,5.31797
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 3 - Lit-Classic.ComLondon.txt,14.7533,5.17716,2.27808,0.27358,0.17065,0.08765,0.09489,0.08789,10.44001,5.19283
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 4 - Lit-Oboz.Ru.txt,12.82992,5.04539,2.21454,0.25065,0.18843,0.10672,0.08606,0.08649,9.98345,5.54851
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 5 - Lit-Classic.Com.txt,11.97861,5.03274,2.2282,0.24041,0.18537,0.11312,0.08843,0.0849,10.16178,5.45975
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 6 - Lit-Classic.Com.txt,11.30592,5.3849,2.39594,0.27754,0.15854,0.09588,0.10506,0.07783,10.47741,5.49518
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 7 - Lit-Classic.Com.txt,12.38324,5.1428,2.27079,0.24686,0.18162,0.11104,0.0913,0.08515,10.03616,5.4707
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 8 - Lit-Classic.Com.txt,12.13573,5.09342,2.23662,0.25488,0.17936,0.1039,0.08707,0.08477,10.23255,5.31197
Dzhiek London. Sobraniie sochinienii v 14 tomakh. Tom 9 - Lit-Classic.Com.txt,10.98729,5.11993,2.25484,0.27379,0.17906,0.09506,0.08651,0.08142,10.31539,5.32767
Bashnia Piepla - Dzhordzh Martin.txt,12.504,5.1342,2.2669,0.24328,0.1785,0.12236,0.09645,0.08525,9.01028,3.112
Bitva koroliei - Dzhordzh Martin.txt,9.91888,4.97605,2.16605,0.2833,0.18227,0.10161,0.09332,0.08093,10.2352,6.00931
Bor_ba chieloviechieskogho sierdtsa s samim soboi - Dzhordzh Martin.txt,16.36638,5.5823,2.5088,0.33079,0.12852,0.06795,0.12826,0.08428,9.12232,2.41317
Buria miechiei - Dzhordzh Martin.txt,9.88723,4.95668,2.15993,0.28236,0.17984,0.10477,0.09046,0.08094,10.23927,6.26521
Chieloviek s miasnoi fabriki - Dzhordzh Martin.txt,10.75251,5.22631,2.26874,0.2415,0.19675,0.1124,0.09604,0.08646,9.04216,3.38601
Chieloviek-v-formie-ghrushi - Dzhordzh Martin.txt,8.59709,5.2917,2.32021,0.24472,0.21491,0.12208,0.08831,0.0716,9.0941,3.32566
Chietyriekhtsvietnyi mal_chik-fanat - Dzhordzh Martin.txt,17.28846,5.51835,2.44567,0.3079,0.15172,0.07564,0.11079,0.0772,9.11596,2.63721
Dikiie karty - Dzhordzh Martin.txt,11.1573,5.35006,2.36026,0.2731,0.18057,0.09642,0.09522,0.07217,10.49659,5.13895
Dikiie karty. Knigha 6. Tuz v trudnom polozhienii - Dzhordzh Martin.txt,8.37753,5.33235,2.32112,0.27531,0.19797,0.10946,0.08666,0.06867,10.21516,5.19367
Dorogha v San-Brieta - Dzhordzh Martin.txt,9.8862,5.30272,2.34299,0.23488,0.18614,0.10507,0.08793,0.08107,8.89942,2.68777
Gibridy i uzhasy - Dzhordzh Martin.txt,17.75393,5.4506,2.45039,0.30109,0.13713,0.07874,0.11855,0.08552,8.93041,2.45527
Gieroi - Dzhordzh Martin.txt,9.51587,5.52099,2.44931,0.27328,0.18849,0.08646,0.10509,0.07061,9.07232,2.40953
Griaznyi profiessional - Dzhordzh Martin.txt,17.85802,5.33737,2.33915,0.28897,0.16454,0.09298,0.09679,0.08088,8.71535,2.45299
Griezy Fievra - Dzhordzh Martin.txt,9.7177,5.19098,2.25784,0.27814,0.18943,0.10272,0.09365,0.07301,9.9842,5.44957
I smiert_ iegho nasliediie - Dzhordzh Martin.txt,12.09705,5.42065,2.39088,0.28811,0.17789,0.09383,0.10255,0.08755,8.9017,2.2606
Ighra priestolov - Dzhordzh Martin.txt,9.97829,5.20247,2.25487,0.29628,0.19385,0.09423,0.09789,0.07369,10.23674,6.02693
Kamiennyi ghorod - Dzhordzh Martin.txt,9.6394,5.39982,2.32764,0.28659,0.17993,0.06943,0.11286,0.08066,9.65046,3.28727
Khlieba i ryby - Dzhordzh Martin.txt,10.10688,5.43765,2.37744,0.2606,0.17867,0.10858,0.10245,0.07088,9.64572,3.79281
